Johns Hopkins Baltimore,480,210009,Baltimore,Md.,Nonprofit and/or government,Johns Hopkins,More than 250,,Yes,Northeast,Yes,,,Yes - prominently displayed,Yes,Yes,https://www.hopkinsmedicine.org/patient_care/patients-visitors/billing-insurance/_docs/pfs035-2020/PFS035.pdf,No,,200% FPL,Blue,200%-400% FPL,Blue,"Yes - liquid assets less than $10,000",Income below 500% of FPL and bills exceeding 25% of income,Blue,No,No,Blue,Yes,No,Blue,"No, according to FAP","No, according to FAP",No,Blue,No*,Purple,*According to spokesperson Liz Vandendriessche,"Collections Policy:
https://drive.google.com/file/d/1VRw2v_HTTUYzHla3Ip0-eQKf9uyjuhHp/view?usp=sharing

JHMedia@jhmi.edu
410-955-6680
Kim Hoppe
khoppe1@jhmi.edu",https://drive.google.com/file/d/1yGlW9rDIh1_ExFWwZ2LrMFSNObWlH7ZV/view?usp=sharing,,,86475
NewYork-Presbyterian Hospital-Columbia University Irving Medical Center and Weill Cornell Medical Center,481,330101,New York,N.Y.,Nonprofit and/or government,NewYork-Presbyterian,More than 250,,Yes,Northeast,Yes,,,Yes - prominently displayed,Yes,Yes,https://www.nyp.org/pay-my-bill,Yes,https://www.nyp.org/pay-my-bill,100% FPL,Blue,101%-600% FPL,Blue,"No, per Financial Assistance policy",No,Black,Yes; restricted to NY State residents per FAP,No,Blue,Yes per the Billing & Collections policy,No,Blue,Yes per the Billing & Collections policy,Yes per the Billing & Collections policy,Yes,Blue,No,Blue,,,,,,51011
Ronald Reagan UCLA Medical Center,482,050262,Los Angeles,Calif.,Nonprofit and/or government,UCLA Health,More than 250,Yes,Yes,West,Yes,,Yes,No,Yes,Yes,https://www.uclahealth.org/workfiles/patientbilling/financial-assistance-policy-hs5310.pdf,Yes,https://www.uclahealth.org/workfiles/patientbilling/financial-assistance-policy-hs5310.pdf,200% FPL,Blue,200%-350% FPL,Blue,"Yes -- 50% of all monetary assets (liquid assets) above $10,000 are excluded",No,Black,Yes (California),No,Blue,Yes,No,Blue,No,No,No,Blue,No,Blue,,Policy explicitly states UCLA won't engage in ECA and requires collection agencies to agree to same,,,,44000
Massachusetts General Hospital,483,220071,Boston,Mass.,Nonprofit and/or government,Mass General Brigham,More than 250,,Yes,Northeast,Yes,,,No,"No - only comes up with ""billing"" search",Yes,https://www.massgeneralbrigham.org/sites/default/files/2020-06/Financial-Assistance-Policy-English.pdf,"Some, but not all",https://www.massgeneralbrigham.org/sites/default/files/2020-06/Credit-Collection-Policy-English.pdf,150% FPL,Blue,150%-300% FPL,Blue,"Yes, assets less than $10,000 for first family member with additional $3,000 for each additional family member",If bill is 30% of income for 300%-600% of FPL; if 40% of income for over 600% FPL,Blue,Yes,Yes*,Blue,Yes,No**,Purple,"Yes; allowed by policy, but not current practice, according to  Michael Morrison","Yes; allowed by policy, but not current practice, according to  Michael Morrison",Yes*,Blue,No,Blue,"*Allowed, but not current practice, according to spokesperson Michael Morrison
**According to Morrison",FAP advises patients with large bills to seek aid from Mass Health Safety Net,"12/26 ---
Thanks so much for agreeing to add the qualifying comments.  As our CFO said, it’s hard to feel like “yes” is the appropriate response for some of these questions, as in the 30 years she has been in Finance at the MGH, most such these measures have not been taken. But they are mentioned in the policies to keep open the possibility for a situation that may call for such measures.
 
To specifically respond to the questions below, the answers are 1.) we do have in our policy that allows us to use collection agencies and we have done so on occasions; and 2.) we do not sell our patient debt to third-party debt buyers.
 ",,,07000
Cedars-Sinai Medical Center,484,050625,Los Angeles,Calif.,Nonprofit and/or government,Cedars-Sinai Health System,More than 250,,Yes,West,Yes,,,No,Yes,Yes,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/financial-assistance/documents/faps/fap-application-english-12-1-2020.pdf,Yes,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/financial-assistance/documents/faps/fap-application-english-12-1-2020.pdf,200% FPL,Blue,200%-450% FPL,Blue,Yes,Income below 600% of FPL and bills exceeding 10% of income,Blue,Yes,Yes,Blue,Yes,Yes,Blue,"Yes, but a rare occurance","Yes, but a rare occurance",Yes*,Blue,Yes,Blue,,"Full FAP not readily findable on site. FAP is under the ""What services are covered?"" question. You have to click on it to expand it, and the FAP is at the bottom of that section.

FAP states that they do allow ECAs, but Duke Helfand says it is a rare occurance. They do not often engage in ECAs.","Cedars-Sinai makes sure that anyone who requires our services can access them, regardless of their ability to pay. When a patient cannot afford to pay for their care, or if their personal financial situation changes, we work directly with them to accommodate their unique circumstances.
 
Our financial assistance policy is among the most generous of its kind in the country. We provide free care to patients earning as much as 400% of the Federal Poverty Level ($106,000 for a family of four in 2021).  We also provide substantial discounts for those patients earning 401% to 600% of the Federal Poverty Level ($106,265 to $159,000 for a family of four in 2021).  These levels go beyond minimum levels set by state and federal requirements. 
 
Over the last five years, Cedars-Sinai has provided $163 million in ""charity care"" financial assistance to nearly 93,000 patients who needed help paying for their medical care.
 
During that same period, we absorbed $451 million in losses related to more than 244,000 patient encounters where the patient (or in some cases, the insurance plan) did not pay for the care provided.
 
Cedars-Sinai policy does allow for the extraordinary collection actions you mentioned in your email. The fact that we have a policy on paper, however, misses the true story. The real question to understand is how the policy is applied in practice.
 
On the extremely rare occasions when we pursue extraordinary collection efforts (as you describe), we do so only with patients who decline to pay their bills despite evidence of substantial ability to pay.
 
To put our practice into context: Over the last five years, we have taken legal action against 15 patients (including three international patients). This amounts to 0.00002% of the total 779,448 unique patients who were treated and billed during this period. (One of these patients received payment for care directly from an insurance company but refused to remit the payment to Cedars-Sinai.)
 
Cedars-Sinai has never garnished a patient's wages or put a lien on their home to satisfy payment for medical bills.
 
Thank you for taking a few moments to read and understand this important context. We believe this information is vital to developing a more complete understanding of the ""yes"" or ""no"" questions in the survey.",,,44000
UCSF Medical Center,485,050454,San Francisco,Calif.,Nonprofit and/or government,,More than 250,,Yes,West,Yes,,Yes,No,"Yes, though not the first link",Yes,https://www.ucsfhealth.org/billing-and-insurance,Yes,https://www.ucsfhealth.org/billing-and-insurance,400% FPL,Blue,N/A,Black,No,Income below 400% of FPL and bills exceeding 10% of income,Blue,Yes (California),No,Blue,Yes,No,Blue,No,No,No,Blue,No,Blue,,"Notably challenging to find policy, which is very short and includes no info on billing and collections; BUT VERY GENEROUS CHARITY

Full FAP:
https://drive.google.com/file/d/1GstqhSog5XIcPlqSyrQ78PRR5Zo-3EGO/view?usp=sharing",,,,67000
NYU Langone Hospitals,486,330214,New York,N.Y.,Nonprofit and/or government,NYU Langone Hospitals,More than 250,,Yes,Northeast,Yes,,,"Yes, through ""insurance and billing"" tab",Yes,Yes,https://nyulangone.org/files/charity-care-financial-assistance-feb-2021.pdf,No,,600% FPL,Blue,600%-800% FPL,Blue,No,No,Black,"Yes, though some non NY residents eligible",No*,Purple,Yes,No*,Purple,"Not mentioned in the policies but is a practice of the hospital in limited circumstances, according to Lisa Greiner","Liens: Yes

Wages: No",Yes*,Purple,No*,Purple,*According to spokesperson Lisa Greiner,,https://drive.google.com/file/d/1j_Pgbi6oHNalsXrizPFzcorai6fzI1N6/view?usp=sharing,,,51011
Northwestern Memorial Hospital,487,140281,Chicago,Ill.,Nonprofit and/or government,Northwestern Medicine,More than 250,,Yes,Midwest,Yes,,,"Yes, at top of page",Yes,Yes,https://www.nm.org/patients-and-visitors/billing-and-insurance/financial-assistance,No,,250% FPL,Blue,250%-600% FPL,Blue,No,No,Black,Yes (Illinois),No,Blue,Yes,No*,Purple,"Bill collectors working for hospital may sue patients, according to the Credit and Collection Policy.","Not mentioned in the Billing and Collection Policy but not a practice of the hospital, according to Chris King",Yes**,Blue,Yes,Blue,"*According to spokesperson Chris King
**Allowed, but not current practice, according to King","Not available online (sent to us)
https://docs.google.com/document/d/13tY8CvdlczoTROMs89rF7VlxlbWUnUl2/edit?usp=sharing&ouid=112879486538082511657&rtpof=true&sd=true","Spox Chris King said ""Northwestern Medicine does not sue patients for outstanding medical debts."" despite what is mentioned in the policy",,,14000
Michigan Medicine,488,230046,Ann Arbor,Mich.,Nonprofit and/or government,University of Michigan Hospitals,More than 250,,Yes,Midwest,Yes,,,"Yes, though ""pay bill"" tab",Yes,Yes,http://med.umich.edu/pdf/finance/Financial-Assistance-Policy.pdf,No,,300% FPL*,Blue,N/A,Black,"Yes, liquid assets less than $10,000",No,Black,Yes (Michigan resident),No**,Purple,"Not mentioned in the Financial Assistance Policy but is a practice of the hospital, according to Mary Masson",No**,Purple,"Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Mary Masson","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Mary Masson",No**,Purple,No**,Purple,"*Uninsured patients only
**According to spokesperson Mary Masson
","Patients may have up to $100,000 in retirement accounts (IRA, 401k, TSA).",We also have a Charge Discount Policy that allows us to discount charges for those who are uninsured or who need assistance with non-covered (if insured) services. The Charge Discount Policy does not have an income threshold. (Mary Masson),,,03000
Stanford Hospital,489,050441,Palo Alto,Calif.,Nonprofit and/or government,Stanford Health Care,More than 250,,Yes,West,Yes,,Yes,"Yes, through the menu","Yes, though not the first link",Yes,https://stanfordhealthcare.org/for-patients-visitors/financial-assistance.html,Yes,https://stanfordhealthcare.org/for-patients-visitors/financial-assistance.html,400% FPL,Blue,N/A,Black,No,Bills exceeding 10% of income,Blue,"No, but priority for charity care is given to patients that live close to the hospital",No,Blue,Yes,No,Blue,No,No,No,Blue,No,Blue,,"Uninsured patients may recieve 50% discount if they are Stanford University faculty physicians or international patients; or a 60% discount for domestic patients on ""medically necessary"" services

First priority for charity care: patients who receive emergency care
2nd priority: patients who receive medically necessary care and ValleyCare is the closest hospital
3rd priority: patients who receive medically necessary care and who either have a unique case that requires treatment at ValleyCare or the patient presents a teaching or research opportunity (page 6 section D)",https://drive.google.com/file/d/1LSHmpmXhmwAOo_OqmU9Iw-QNQGvjD_DU/view?usp=sharing,,,55282
Penn Presbyterian,490,390223,Philadelphia,Pa.,Nonprofit and/or government,Hospitals of the University of Pennsylvania,More than 250,,Yes,Northeast,Yes,,,"Yes, bottom of page",Yes,Yes,https://www.pennmedicine.org/-/media/documents%20and%20audio/patient%20guides%20and%20instructions/health%20system/financial_assistance_policy.ashx?la=en,"Some, but not all",https://www.pennmedicine.org/-/media/documents%20and%20audio/patient%20guides%20and%20instructions/non%20medical/financial%20and%20billing/uphs%207116%20collection%20policy.ashx?la=en,300% FPL,Blue,N/A,Black,No,Bills exceeding 10% of income,Blue,"Yes (a resident of the primary service area of a Penn Medicine provider), though some nonresidents eligible",Yes,Blue,Yes,No*,Purple,"Not mentioned in the Billing and Collection Policy or FAP, but not a practice of the hospital, according to Patrick Norton","Not mentioned in the Billing and Collection Policy or FAP, but not a practice of the hospital, according to Patrick Norton",No*,Purple,No*,Purple,*According to spokesperson Patrick Norman,,"This is Brandon Lausch, and I’m part of the Penn Medicine communications team with Holly, who is on vacation this week. Regarding your bulleted list of questions, our answer is no to all of them except point No. 2. Our collection efforts may include referral to an outside collection agency or attorney, as determined by Patient Accounting. We also wanted to provide some additional context on our financial counseling and assistance policies, which you’ll see below. Should you require attribution for any of this, please attribute to “a Penn Medicine spokesperson,” with no name.
 
Regards,
Brandon
 
-------
The University of Pennsylvania Health System is committed to caring for all patients equitably and has a longstanding commitment to assisting patients who are uninsured or unable to afford care. We work closely with patients who qualify for medical assistance and charity care to provide information on their options and assist them in navigating the application process. Patients may apply for financial assistance at any time during treatment or when request for payment is made.",,,60000
